cod_mun,mun,longitude,latitude
1600154,PEDRA BRANCA DO AMAPARI,-51.9465942732743,0.7768828605639442
1600204,CALÇOENE,-50.9447727342665,2.49655904456698
1600212,CUTIAS,-50.8016260298776,0.97107805541715
1600238,FERREIRA GOMES,-51.1874290460046,0.853977393142956
1600253,ITAUBAL,-50.7001794374183,0.600653288304609
1600279,LARANJAL DO JARI,-52.5390207369393,-0.8556645
1600303,MACAPÁ,-51.057405457036,0.03895101
1600402,MAZAGÃO,-51.286076856101296,-0.12439632882110101
1600501,OIAPOQUE,-51.8305525552731,3.85113073255929
1600535,PORTO GRANDE,-51.4144488229915,0.7125547018243229
1600550,PRACUÚBA,-50.7842537212883,1.74250848707834
1600600,SANTANA,-51.1728464650687,-0.0383734790956603
1600709,TARTARUGALZINHO,-50.912786152314204,1.50984824031107
1600808,VITÓRIA DO JARI,-52.4196147795718,-0.918977088542799
1700251,ABREULÂNDIA,-49.162437555479706,-9.62179071199836
1700301,AGUIARNÓPOLIS,-47.470456587945,-6.5471708206181
1700350,ALIANÇA DO TOCANTINS,-48.941240022140896,-11.3037430465089
1700400,ALMAS,-47.174171684235795,-11.5745234694478
1700707,ALVORADA,-49.126811406730006,-12.478815320822699
1701002,ANANÁS,-48.0797646061948,-6.362818154100079
1701051,ANGICO,-47.8620778391735,-6.3877527497247995
1701101,APARECIDA DO RIO NEGRO,-47.976670011351096,-9.9558777145605
1701309,ARAGOMINAS,-48.5234301922917,-7.164349271443701
1701903,ARAGUACEMA,-49.5618126396073,-8.801802544111151
1702000,ARAGUAÇU,-49.82861244327821,-12.925583711861599
1702109,ARAGUAÍNA,-48.20870525185579,-7.19132893965496
1702158,ARAGUANÃ,-48.6437495469431,-6.582249420029191
1702208,ARAGUATINS,-48.123507343029395,-5.650586472999951
1702307,ARAPOEMA,-49.0756373852721,-7.65256973541903
1702406,ARRAIAS,-46.9461070585534,-12.9344198592593
1702554,AUGUSTINÓPOLIS,-47.88095679100471,-5.46541429589652
1702703,AURORA DO TOCANTINS,-46.4070829808607,-12.7084898610615
1702901,AXIXÁ DO TOCANTINS,-47.77415603252211,-5.62430906592745
1703008,BABAÇULÂNDIA,-47.7588161270324,-7.201864532061481
1703057,BANDEIRANTES DO TOCANTINS,-48.5783806048644,-7.764859141253329
1703073,BARRA DO OURO,-47.687134969224395,-7.69176659865687
1703107,BARROLÂNDIA,-48.731460590721795,-9.83165336453342
1703206,BERNARDO SAYÃO,-48.8990543467276,-7.868512483312809
1703305,BOM JESUS DO TOCANTINS,-48.166380493540494,-8.963348012855212
1703602,BRASILÂNDIA DO TOCANTINS,-48.485374419124,-8.384889351077991
1703701,BREJINHO DE NAZARÉ,-48.5586602281507,-11.0108050561865
1703800,BURITI DO TOCANTINS,-48.223250128075,-5.31353885638917
1703826,CACHOEIRINHA,-47.914197778559,-6.11324164650466
1703842,CAMPOS LINDOS,-46.80197434670671,-7.97168139413731
1703867,CARIRI DO TOCANTINS,-49.17104072898889,-11.8889974638744
